GREScore,CGPA,university_name
321,8.8,Ghent University
323,9.1,"Royal Holloway, University of London"
325,9,Tokyo Institute of Technology
312,8.53,Humboldt University of Berlin
308,8.6,"University of California, Santa Cruz"
320,8.74,University of Basel
328,9.18,University of Bern
311,9,University of Utah
301,8.04,Stony Brook University
305,8.13,Eindhoven University of Technology
308,8.07,University of Lausanne
298,7.86,Monash University
300,8.01,Trinity College Dublin
324,8.8,Osaka University
327,8.69,Tohoku University
317,8.5,Hebrew University of Jerusalem
323,8.44,University of York
314,8.27,Indiana University
305,8.18,Seoul National University
315,8.33,Aarhus University
326,9.14,University of Florida
299,8.02,Arizona State University
295,7.86,Queen Mary University of London
324,8.77,University of Southampton
297,7.89,University of Geneva
327,8.66,Lancaster University
311,8.12,Stockholm University
308,8.21,University of Leeds
319,8.54,University of Groningen
312,8.65,George Washington University
325,9.11,University of Copenhagen
319,8.79,University of Virginia
332,9.47,Georgetown University
323,8.74,University of Vienna
324,8.66,University of Nottingham
312,8.46,University of Iowa
326,8.76,École Normale Supérieure de Lyon
308,8.24,"University of California, Riverside"
305,8.13,Rensselaer Polytechnic Institute
295,7.34,University of East Anglia
316,7.43,Newcastle University
304,7.64,William & Mary
299,7.34,University of Birmingham
302,7.25,"Birkbeck, University of London"
313,8.04,Brandeis University
318,8.27,Chinese University of Hong Kong
325,8.67,Free University of Berlin
303,8.06,University of Aberdeen
300,8.17,National Taiwan University
297,7.67,Yeshiva University
317,8.12,University of Exeter
327,8.77,Erasmus University Rotterdam
301,7.89,University of Warwick
314,7.64,Radboud University Nijmegen
321,8.44,University College Dublin
322,8.64,VU University Amsterdam
334,9.54,Medical University of South Carolina
338,9.23,Wake Forest University
306,8.36,Texas A&M University
313,8.9,University of Reading
330,9.17,Tel Aviv University
320,8.34,University of Illinois at Chicago
311,7.46,RWTH Aachen University
298,7.88,Nanyang Technological University
301,8.03,Paris Diderot University – Paris 7
310,8.24,Université Catholique de Louvain
324,9.22,University of Miami
336,9.62,Queen’s University
321,8.54,University of Auckland
315,7.65,University of New South Wales
304,7.66,University of Dundee
297,7.43,University of Victoria
290,7.56,Technical University of Denmark
303,7.65,University of São Paulo
311,8.43,University of Delaware
322,8.84,Goethe University Frankfurt
319,8.67,University of Liverpool
324,9.15,University of Oslo
300,8.26,Iowa State University
340,9.74,University of Ottawa
335,9.82,Pompeu Fabra University
,7.96,KTH Royal Institute of Technology
,8.1,University of Tübingen
,7.8,University of Freiburg
,8.44,University of Western Australia
,8.24,University of Bergen
,8.65,University of Science and Technology of China
,9.12,City University of Hong Kong
,8.76,University of Konstanz
,9.23,Boston College
,9.04,Karlsruhe Institute of Technology
,9.11,Georgia Health Sciences University
,9.45,Maastricht University
,8.78,University of Leicester
,9.66,University of Twente
302,,
307,,
296,,
320,,
314,,
318,,
326,,
317,,
329,,
324,,
325,,
330,,
312,,
333,,
